[ 2025-08-14 11:55:31,459 ] 19 root - INFO - Initiate the data ingestion
[ 2025-08-14 11:55:38,227 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-14 11:55:38,227 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-14 11:55:38,228 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-14 11:55:38,285 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-14 11:55:38,286 ] 21 root - INFO - Data Initiation Completed
[ 2025-08-14 11:55:38,309 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-14 11:55:38,393 ] 32 root - INFO - Required number of columns:2
[ 2025-08-14 11:55:38,394 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-14 11:55:38,394 ] 32 root - INFO - Required number of columns:2
[ 2025-08-14 11:55:38,394 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-14 11:55:38,537 ] 28 root - INFO - data Validation Completed
[ 2025-08-14 11:55:38,538 ] 32 root - INFO - data Transformation started
