[ 2025-08-14 13:21:05,098 ] 19 root - INFO - Initiate the data ingestion
[ 2025-08-14 13:21:07,885 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-14 13:21:07,887 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-14 13:21:07,887 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-14 13:21:07,938 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-14 13:21:07,938 ] 21 root - INFO - Data Initiation Completed
[ 2025-08-14 13:21:07,954 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-14 13:21:08,013 ] 32 root - INFO - Required number of columns:2
[ 2025-08-14 13:21:08,013 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-14 13:21:08,013 ] 32 root - INFO - Required number of columns:2
[ 2025-08-14 13:21:08,014 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-14 13:21:08,139 ] 28 root - INFO - data Validation Completed
[ 2025-08-14 13:21:08,139 ] 32 root - INFO - data Transformation started
[ 2025-08-14 13:21:08,139 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-14 13:21:08,139 ] 65 root - INFO - Starting data transformation
[ 2025-08-14 13:21:08,159 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-14 13:21:08,159 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-14 13:21:08,173 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-14 13:21:08,176 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-14 13:21:08,176 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-14 13:21:08,180 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-14 13:21:08,181 ] 36 root - INFO - data Transformation completed
[ 2025-08-14 13:21:08,181 ] 38 root - INFO - Model Training stared
